day,month,year,Nuevos casos,Acumulado,diarias,acummuertes
27,2,2020,1,1,0,0
28,2,2020,1,2,0,0
29,2,2020,2,4,0,0
1,3,2020,1,5,0,0
2,3,2020,0,5,0,0
3,3,2020,0,5,0,0
4,3,2020,0,5,0,0
5,3,2020,0,5,0,0
6,3,2020,1,6,0,0
7,3,2020,1,7,0,0
8,3,2020,0,7,0,0
9,3,2020,0,7,0,0
10,3,2020,0,7,0,0
11,3,2020,4,11,0,0
12,3,2020,4,15,0,0
13,3,2020,11,26,0,0
14,3,2020,15,41,0,0
15,3,2020,12,53,0,0
16,3,2020,29,82,0,0
17,3,2020,11,93,0,0
18,3,2020,25,118,1,1
19,3,2020,46,164,0,1
20,3,2020,39,203,1,2
21,3,2020,48,251,0,2
22,3,2020,65,316,0,2
23,3,2020,51,367,0,2
24,3,2020,38,405,3,5
25,3,2020,70,475,1,6
26,3,2020,110,585,2,8
27,3,2020,132,717,4,12
28,3,2020,131,848,4,16
29,3,2020,145,993,4,20
30,3,2020,101,1094,8,28
31,3,2020,121,1215,1,29
1,4,2020,163,1378,8,37
2,4,2020,132,1510,13,50
3,4,2020,178,1688,10,60
4,4,2020,202,1890,19,79
5,4,2020,253,2143,15,94
6,4,2020,296,2439,31,125
7,4,2020,346,2785,16,141
8,4,2020,396,3181,33,174
9,4,2020,260,3441,20,194
10,4,2020,403,3844,39,233
11,4,2020,375,4219,40,273
12,4,2020,442,4661,23,296
13,4,2020,353,5014,36,332
14,4,2020,385,5399,74,406
15,4,2020,448,5847,43,449
16,4,2020,450,6297,37,486
17,4,2020,578,6875,60,546
18,4,2020,622,7497,104,650
19,4,2020,764,8261,36,686
20,4,2020,511,8772,26,712
21,4,2020,729,9501,145,857
22,4,2020,1043,10544,113,970
23,4,2020,1089,11633,99,1069
24,4,2020,1239,12872,152,1221
25,4,2020,970,13842,84,1305
26,4,2020,835,14677,46,1351
27,4,2020,852,15529,83,1434
28,4,2020,1223,16752,135,1569
29,4,2020,1047,17799,163,1732
30,4,2020,1425,19224,127,1859
1,5,2020,1515,20739,113,1972
2,5,2020,1349,22088,89,2061
3,5,2020,1383,23471,93,2154
4,5,2020,1434,24905,117,2271
5,5,2020,1120,26025,236,2507
6,5,2020,1609,27634,197,2704
7,5,2020,1982,29616,257,2961
8,5,2020,1906,31522,199,3160
9,5,2020,1938,33460,193,3353
10,5,2020,1562,35022,112,3465
11,5,2020,1305,36327,108,3573
12,5,2020,1997,38324,353,3926
13,5,2020,1862,40186,294,4220
14,5,2020,2409,42595,257,4477
15,5,2020,2437,45032,290,4767
16,5,2020,2112,47144,278,5045
17,5,2020,2075,49219,132,5177
18,5,2020,2414,51633,155,5332
19,5,2020,2713,54346,334,5666
20,5,2020,2248,56594,424,6090
21,5,2020,2973,59567,420,6510
22,5,2020,2960,62527,479,6989
23,5,2020,3329,65856,190,7179
24,5,2020,2764,68620,215,7394
25,5,2020,2485,71105,239,7633
26,5,2020,3455,74560,501,8134
27,5,2020,3463,78023,463,8597
28,5,2020,3377,81400,447,9044
29,5,2020,3227,84627,371,9415
30,5,2020,2885,87512,364,9779
31,5,2020,3152,90664,151,9930
1,6,2020,2771,93435,237,10167
2,6,2020,3891,97326,470,10637
3,6,2020,3912,101238,1092,11729
4,6,2020,4442,105680,816,12545
5,6,2020,4346,110026,625,13170
6,6,2020,3593,113619,341,13511
7,6,2020,3484,117103,188,13699
8,6,2020,2999,120102,354,14053
9,6,2020,4199,124301,596,14649
10,6,2020,4883,129184,708,15357
11,6,2020,4790,133974,587,15944
12,6,2020,5222,139196,504,16448
13,6,2020,3494,142690,424,16872
14,6,2020,4147,146837,269,17141
15,6,2020,3427,150264,439,17580
16,6,2020,4599,154863,730,18310
17,6,2020,4930,159793,770,19080
18,6,2020,5662,165455,667,19747
19,6,2020,5030,170485,647,20394
20,6,2020,4717,175202,387,20781
21,6,2020,5343,180545,1044,21825
22,6,2020,4577,185122,759,22584
23,6,2020,6288,191410,793,23377
24,6,2020,5437,196847,947,24324
25,6,2020,6104,202951,736,25060
26,6,2020,5441,208392,719,25779
27,6,2020,4410,212802,602,26381
28,6,2020,4050,216852,267,26648
29,6,2020,3805,220657,473,27121
30,6,2020,5432,226089,648,27769
1,7,2020,5681,231770,741,28510
2,7,2020,6741,238511,679,29189
3,7,2020,6740,245251,654,29843
4,7,2020,6914,252165,523,30366
5,7,2020,4683,256848,273,30639
6,7,2020,4902,261750,480,31119
7,7,2020,6258,268008,895,32014
8,7,2020,6995,275003,782,32796
9,7,2020,7280,282283,730,33526
10,7,2020,6891,289174,665,34191
11,7,2020,6094,295268,539,34730
12,7,2020,4482,299750,276,35006
13,7,2020,4685,304435,485,35491
14,7,2020,7051,311486,836,36327
15,7,2020,6149,317635,579,36906
16,7,2020,6406,324041,668,37574
17,7,2020,7257,331298,736,38310
18,7,2020,7615,338913,578,38888
19,7,2020,5311,344224,296,39184
20,7,2020,5172,349396,301,39485
21,7,2020,6859,356255,915,40400
22,7,2020,6019,362274,790,41190
