cve_ent,nom_ent,fecha_publica,fecha_inicio,fecha_fin,color_sem,nivel
1,Aguascalientes,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
2,Baja California,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
3,Baja California Sur,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
4,Campeche,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
5,Coahuila de Zaragoza,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
6,Colima,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
7,Chiapas,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
8,Chihuahua,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
9,Ciudad de México,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
10,Durango,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
11,Guanajuato,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
12,Guerrero,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
13,Hidalgo,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
14,Jalisco,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
15,México,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
16,Michoacán de Ocampo,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
17,Morelos,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
18,Nayarit,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
19,Nuevo León,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
20,Oaxaca,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
21,Puebla,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
22,Querétaro,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
23,Quintana Roo,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
24,San Luis Potosí,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
25,Sinaloa,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
26,Sonora,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
27,Tabasco,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
28,Tamaulipas,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
29,Tlaxcala,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
30,Veracruz de Ignacio de la Llave,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
31,Yucatán,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
32,Zacatecas,01/06/2020,01/06/2020,14/06/2020,Rojo,Máximo
1,Aguascalientes,12/06/2020,15/06/2020,21/06/2020,Rojo,Máximo
